index,continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,median_age,gdp_per_capita,life_expectancy
47,Africa,Benin,2020-10-21,2496.0,41.0,205.886,3.3819999999999997,12123198.0,18.8,2064.236,61.77
48,Africa,Sudan,2020-10-21,13724.0,836.0,312.981,19.065,43849269.0,19.7,4466.5070000000005,65.31
49,Africa,South Sudan,2020-10-21,2847.0,55.0,254.33900000000003,4.913,11193729.0,19.2,1569.888,57.85
50,Africa,Sierra Leone,2020-10-21,2336.0,73.0,292.842,9.151,7976985.0,19.1,1390.3,54.7
51,Africa,South Africa,2020-10-21,706304.0,18656.0,11908.946000000002,314.558,59308690.0,27.3,12294.876,64.13
52,Africa,Botswana,2020-10-21,5609.0,21.0,2385.159,8.93,2351625.0,25.8,15807.374,69.59
53,Africa,Lesotho,2020-10-21,1833.0,42.0,855.6419999999999,19.605999999999998,2142252.0,22.2,2851.153,54.33
54,Africa,Somalia,2020-10-21,3890.0,101.0,244.75799999999998,6.355,15893219.0,16.8,,57.4
55,Asia,Iraq,2020-10-21,434598.0,10366.0,10804.847,257.716,40222503.0,20.0,15663.986,70.6
56,Asia,Maldives,2020-10-21,11271.0,37.0,20851.293999999998,68.45,540542.0,30.6,15183.616000000002,78.92
57,Asia,Jordan,2020-10-21,40972.0,414.0,4015.627,40.576,10203140.0,23.2,8337.49,74.53
58,Asia,Japan,2020-10-21,93933.0,1679.0,742.692,13.275,126476458.0,48.2,39002.223,84.63
59,Asia,Kyrgyzstan,2020-10-21,53459.0,1118.0,8193.966,171.362,6524191.0,26.3,3393.474,71.45
60,Asia,Malaysia,2020-10-21,22225.0,193.0,686.677,5.962999999999999,32365998.0,29.9,26808.164,76.16
61,Asia,Lebanon,2020-10-21,64336.0,531.0,9425.91,77.797,6825442.0,31.1,13367.565,78.93
62,Asia,Laos,2020-10-21,23.0,,3.161,,7275556.0,24.4,6397.36,67.92
